date,market_caps,prices,total_volumes
2018-08-18 08:50:23, 755255.5335188028, 0.0008331309682694838, 226557.45753646264
2018-08-18 09:50:29, 750862.7159987928, 0.0008277328824254527, 229988.25066377502
2018-08-18 10:50:30, 741447.6328358058, 0.0008123454809303445, 232005.83694785647
2018-08-18 11:50:32, 732535.9011440388, 0.0008068627699326629, 218803.5591771051
2018-08-18 12:50:39, 721598.8390746922, 0.0007955845206630976, 225838.25819987396
2018-08-18 13:50:31, 706004.8858215278, 0.00078233157205966, 218421.15086418897
2018-08-18 14:50:26, 702978.5534333455, 0.0007766515371745097, 204576.58633046458
2018-08-18 15:50:21, 713539.8707663085, 0.000787163136163585, 208987.24960731762
2018-08-18 16:50:30, 713243.1973344072, 0.0007870355092436374, 205519.24368222774
2018-08-18 17:50:31, 706947.7614992338, 0.0007804324450333275, 207034.47878478584
2018-08-18 18:50:29, 724174.9164054372, 0.0007983808362352806, 209159.6935064326
2018-08-18 19:50:28, 722863.0204387611, 0.0007982873377769517, 190189.5753870706
2018-08-18 20:50:22, 722981.4812268962, 0.0007984265973643017, 190743.1308252623
2018-08-18 21:50:34, 715056.1543631856, 0.0007898359579370718, 183450.12128919663
2018-08-18 22:50:31, 721042.096034312, 0.0007954888106129349, 172288.05946409833
2018-08-18 23:50:33, 720162.6576280887, 0.0007951547195514458, 169379.76536525856
2018-08-19 00:50:28, 716435.5095823909, 0.0007901323675238434, 166599.05399694978
2018-08-19 01:50:22, 714500.5753881297, 0.0007886449135154502, 158615.00824420503
2018-08-19 02:50:25, 723685.4916816182, 0.0007987128208020682, 155645.4747162362
2018-08-19 03:50:35, 722794.4663775656, 0.0007978393542240135, 159375.46794148278
2018-08-19 04:50:33, 719711.8171791984, 0.0007942223224430152, 146047.54047352533
2018-08-19 05:50:11, 720521.7271770369, 0.0007949718133432788, 144274.77454644113
2018-08-19 06:50:26, 733401.2610697955, 0.0008087105153885075, 146906.91655065602
2018-08-19 07:50:35, 733424.2676009152, 0.0008096872087619052, 150578.02547108656
2018-08-19 08:50:31, 741896.4761889443, 0.0008200351558861817, 151963.2871551678
2018-08-19 09:50:26, 745586.197039259, 0.000822731740900507, 147781.88905584946
2018-08-19 10:50:29, 756710.0979730333, 0.000833963433326182, 149332.73630567835
2018-08-19 11:50:25, 747149.5412586665, 0.0008242931058425815, 152167.64885805393
2018-08-19 12:50:33, 739138.9847550332, 0.0008162513563111147, 148524.59948262788
2018-08-19 13:51:03, 726717.2373741216, 0.0008039851216484305, 143094.3862467275
2018-08-19 13:54:40, 728280.3383096764, 0.0008038549602293294, 142991.62448662825
2018-08-19 14:50:32, 730368.2876146744, 0.000805453253379104, 141107.8518691416
2018-08-19 15:50:31, 729068.4382820596, 0.0008045613845486278, 134444.96066361727
2018-08-19 16:50:40, 732511.2782542217, 0.0008089968204659348, 133446.5955541155
2018-08-19 17:50:30, 745355.2344469846, 0.0008212040994787642, 140107.94373532315
2018-08-19 18:50:25, 734534.0504724305, 0.0008099933007075303, 137432.19816396266
2018-08-19 19:50:35, 733961.8459179483, 0.0008116750632119819, 139948.02111071575
2018-08-19 20:50:26, 736790.0020405623, 0.0008130238729321315, 143461.67189099314
2018-08-19 21:50:25, 738614.7093295343, 0.0008151775461301457, 147443.467093991
2018-08-19 22:50:31, 736663.5233083072, 0.0008155797255698637, 153182.71914479337
2018-08-19 23:50:26, 739250.3580683913, 0.0008157037976294192, 155943.95607028887
2018-08-20 00:50:27, 735001.3277586714, 0.0008109241430782976, 160011.50010724476
2018-08-20 01:50:29, 734250.0838877572, 0.0008099927680707797, 166878.64024559164
2018-08-20 02:50:27, 732913.2204215867, 0.000808789334634881, 166407.07199350678
2018-08-20 03:33:40, 733815.7727779984, 0.0008097560282126013, 167169.6666855619
2018-08-20 04:34:05, 729240.0440182205, 0.0008047409731054425, 168478.48676636096
2018-08-20 05:25:02, 725246.1104947289, 0.0008002726675307985, 174460.93782788285
2018-08-20 06:24:41, 714414.7317408851, 0.0007869951662718113, 172942.64269649048
2018-08-20 07:24:44, 715419.5499184551, 0.0007880267695293684, 163549.00165049054
2018-08-20 08:24:49, 723136.3996053818, 0.0007968618084404103, 158265.20644545666
2018-08-20 09:24:39, 719352.5967142079, 0.0007935573363971309, 160529.156687053
2018-08-20 10:24:41, 717094.1527997197, 0.0007913823419383667, 160738.51218158883
2018-08-20 11:24:54, 709643.7150882968, 0.0007818689107648346, 145242.64796761208
2018-08-20 12:24:54, 714172.1926754101, 0.0007873759809395097, 136464.60890754647
2018-08-20 13:24:36, 712111.2215579065, 0.0007849961034025334, 140841.57203637037
2018-08-20 14:24:58, 712738.5593922545, 0.0007877212944044973, 130785.11010832891
2018-08-20 15:24:50, 717186.0329134706, 0.0007914233980204566, 131881.09282319865
2018-08-20 16:24:50, 717837.2596067515, 0.0007924094871526054, 131899.1777109626
2018-08-20 17:24:51, 711676.8184113909, 0.0007848090248656782, 122133.37854804596
2018-08-20 18:24:47, 713273.0886700572, 0.0007867352722103803, 116487.93211210314
2018-08-20 19:24:49, 703864.7528322722, 0.0007768093060738269, 121403.63316586461
2018-08-20 20:24:51, 685614.3547269334, 0.0007565440531586217, 124330.3546203508
2018-08-20 21:22:58, 682942.3254018432, 0.0007545534563361076, 123064.46439668565
2018-08-20 22:23:20, 686783.5916930117, 0.0007578313985949556, 112984.6478657182
2018-08-20 22:28:54, 686783.5916930117, 0.0007583998898302252, 111664.28382011534
2018-08-20 23:22:08, 681544.7606775651, 0.0007518164255373909, 114324.93643786656
