date,market_caps,prices,total_volumes
2018-08-18 08:50:47, 222100.19415958875, 0.0021385724503983315, 65968.42643058399
2018-08-18 09:50:54, 222833.3162181243, 0.0021450395819698903, 69960.51521318179
2018-08-18 10:50:54, 223416.33363938384, 0.002149330389993559, 69680.34821545317
2018-08-18 11:50:59, 222057.14351248788, 0.002137742138915035, 65469.7351500856
2018-08-18 12:51:06, 217460.2522772218, 0.002092598920024907, 57307.05220642486
2018-08-18 13:50:58, 210867.45342095004, 0.002034873272180628, 66056.12904763379
2018-08-18 14:50:50, 211793.62936669475, 0.0020394612999651645, 62730.87137570256
2018-08-18 15:50:46, 212669.9137928036, 0.002046581809518822, 56429.55134312487
2018-08-18 16:50:55, 212540.2688912187, 0.0020465485524478926, 55807.08055029925
2018-08-18 17:50:55, 210965.53097868478, 0.0020294718059937302, 56012.56921282744
2018-08-18 18:50:54, 214624.4872285212, 0.002065582292963903, 55225.41984794841
2018-08-18 19:50:53, 215350.42872514977, 0.002072704647645635, 55176.83560197209
2018-08-18 20:50:46, 215432.43902286625, 0.0020742946291452914, 53803.815955885824
2018-08-18 21:51:02, 213145.86093730739, 0.0020515664594293035, 52340.84997603045
2018-08-18 22:50:57, 214330.4837675223, 0.0020631323404722494, 50625.21979044905
2018-08-18 23:50:59, 213458.30432072887, 0.002053513327648766, 53809.92553507699
2018-08-19 00:50:54, 212283.1058409323, 0.002045744629118978, 48902.54316607513
2018-08-19 01:50:48, 211420.73620233388, 0.0020349731887167976, 50587.938734088966
2018-08-19 02:50:49, 213529.64800014754, 0.002054817317640998, 50571.05486084338
2018-08-19 03:51:01, 213545.73110940008, 0.00205489359739678, 47239.96502530466
2018-08-19 04:51:00, 212810.31097025666, 0.002048814008982308, 45436.91579099803
2018-08-19 05:50:40, 213616.18542312225, 0.002056016261661276, 48747.900587687975
2018-08-19 06:50:50, 214700.6442880427, 0.002066052118240509, 48353.35225412196
2018-08-19 07:51:02, 214232.1971054627, 0.0020635501055679315, 45128.196065074975
2018-08-19 08:50:58, 216593.88605289313, 0.00208492159205936, 46255.468897425904
2018-08-19 09:50:51, 216646.47295180926, 0.0020847971680379557, 45834.8417396965
2018-08-19 10:50:53, 219409.6624048656, 0.002112283214224667, 50188.21373498899
2018-08-19 11:50:49, 219954.9844838048, 0.002116168571319484, 49435.97180746741
2018-08-19 12:50:59, 217155.452557147, 0.0020911205002295315, 47211.57421265565
2018-08-19 13:51:25, 214256.81722128863, 0.0020684043389654085, 43180.412926420635
2018-08-19 13:54:59, 214824.54561577356, 0.0020674140131253117, 43098.04732196324
2018-08-19 14:51:00, 216274.87282783003, 0.0020758629435942257, 42116.534376030555
2018-08-19 15:51:00, 214844.45539157937, 0.0020678601521705617, 43344.90970005008
2018-08-19 16:51:07, 216488.12113683944, 0.0020838800062662694, 43094.34219923094
2018-08-19 17:50:59, 217477.216111392, 0.0020932564081207086, 40362.35538892637
2018-08-19 18:50:49, 213777.45623242902, 0.0020570504012529063, 42988.256717961005
2018-08-19 19:50:59, 213867.93715339294, 0.002058360559782585, 40044.90105950307
2018-08-19 20:50:50, 212932.556447687, 0.002048874174013286, 40881.76036654667
2018-08-19 21:50:48, 214155.45680420313, 0.0020611966359096964, 40081.831871887356
2018-08-19 22:50:58, 214519.7597635423, 0.0020649863425533863, 40418.10704698629
2018-08-19 23:50:51, 214437.76045539786, 0.00206374457748831, 40165.25664884722
2018-08-20 00:50:50, 213617.95432417776, 0.002054378368808218, 42991.248157618036
2018-08-20 01:50:54, 213687.62304483133, 0.0020542396924010347, 40168.66054842204
2018-08-20 02:50:52, 212575.04720369252, 0.0020458767483556295, 40883.27140247164
2018-08-20 03:33:56, 213171.10318819596, 0.002051510341173674, 40727.47954427418
2018-08-20 04:34:30, 212705.62819791742, 0.0020475049023919193, 41107.87165693068
2018-08-20 05:25:26, 211385.18477721978, 0.002030655966673077, 40673.06921047026
2018-08-20 06:25:06, 209586.11465190706, 0.0020168241243980617, 46582.032048456414
2018-08-20 07:25:08, 209796.87374869428, 0.002018201303880336, 41283.336823450256
2018-08-20 08:25:14, 211442.65034104802, 0.0020341779119292134, 41285.761872240495
2018-08-20 09:25:07, 210559.88520420602, 0.0020267263706360856, 41346.50918289548
2018-08-20 10:25:05, 210337.17844906077, 0.002023763379512673, 41708.90860630737
2018-08-20 11:25:22, 208981.03175428574, 0.0020095877244075866, 38325.82605840945
2018-08-20 12:25:23, 213038.39009117833, 0.0020474355928619486, 39896.57453973871
2018-08-20 13:25:02, 212300.71166314706, 0.002039818445506002, 40946.01374335303
2018-08-20 14:25:27, 210178.59281605805, 0.0020273382075119487, 47317.54276778923
2018-08-20 15:25:20, 211423.62790910114, 0.0020345473282777243, 47618.51435748087
2018-08-20 16:25:22, 209404.73873770217, 0.0020155183313641453, 48766.05974935935
2018-08-20 17:25:23, 209256.80405392783, 0.002013268863667873, 47534.29928841403
2018-08-20 18:25:18, 209525.9095256279, 0.002015984756256007, 48921.291251089766
2018-08-20 19:25:20, 209858.20281987253, 0.0020217736505860973, 51415.17719541092
2018-08-20 20:25:21, 207076.24751008928, 0.001991661128807183, 58757.5487669395
2018-08-20 21:23:30, 206309.90344827043, 0.001986124448338821, 48836.25581450249
2018-08-20 22:23:37, 204638.39232567634, 0.0019690123394945206, 49670.8402073037
2018-08-20 22:29:23, 204651.8828185648, 0.0019703366889812814, 49820.78805769501
2018-08-20 23:22:25, 203198.84125884812, 0.001957726247522046, 50168.53060934762
2018-08-20 23:29:04, 203480.62956165208, 0.0019491874726019838, 51068.79330832524
