date,market_caps,prices,total_volumes
2018-08-18 08:50:18, 526473.2614036414, 0.009084855786823647, 58513.45434485043
2018-08-18 09:50:23, 526141.0654445472, 0.009090210285884534, 59083.935342380995
2018-08-18 10:50:24, 517096.727946626, 0.008922803166678931, 58782.72354564983
2018-08-18 11:50:26, 516614.3673515179, 0.008925135941212513, 58038.89672722633
2018-08-18 12:50:33, 514056.0774686166, 0.008882918071977637, 58323.30458241951
2018-08-18 13:50:25, 510127.5204330589, 0.008824138245395614, 58101.39013008567
2018-08-18 14:50:20, 509477.1861465214, 0.008800474458396422, 57242.8098583284
2018-08-18 15:50:16, 513627.2682013242, 0.008869685495256213, 59104.84149178045
2018-08-18 16:50:24, 512165.65648042073, 0.00884279295636652, 57355.22830513864
2018-08-18 17:50:26, 508294.7788431887, 0.008801460355421103, 56796.079851155424
2018-08-18 18:50:23, 513534.2559647794, 0.008867173846145753, 58273.903476959684
2018-08-18 19:50:22, 513602.0662187114, 0.008870713695680384, 55963.75500935014
2018-08-18 20:50:17, 516788.83367413195, 0.008928338055414944, 55598.25037997718
2018-08-18 21:50:28, 513908.59491736436, 0.008892973126526003, 54642.087531633224
2018-08-18 22:50:26, 514398.2743510077, 0.00888501136362656, 54765.30439595076
2018-08-18 23:50:28, 519333.21695066185, 0.008970083165509339, 53441.73680487877
2018-08-19 00:50:23, 522026.84261676826, 0.009036597596303951, 55227.4467385869
2018-08-19 01:50:17, 523331.02622837975, 0.009039160501937513, 52493.04983709425
2018-08-19 02:50:20, 515760.40567305207, 0.00889569130985001, 51573.860250402235
2018-08-19 03:50:29, 515227.6665277949, 0.008896208996125067, 47539.95683544105
2018-08-19 04:50:27, 513326.6641947328, 0.008865066384442724, 46104.259890938425
2018-08-19 05:50:05, 514118.54526236927, 0.008879080486632912, 45709.65026799331
2018-08-19 06:50:20, 517627.6359690488, 0.008938652159760047, 45103.26325540211
2018-08-19 07:50:29, 516858.75851783453, 0.00892546888172546, 45457.614581727335
2018-08-19 08:50:24, 518623.97352317953, 0.008958467170039864, 43380.351235918846
2018-08-19 09:50:20, 516544.39540070266, 0.00891873245557768, 43366.10633533907
2018-08-19 10:50:24, 520171.7650125071, 0.008982547605188386, 41674.4049343586
2018-08-19 11:50:19, 526129.3163613743, 0.009083137998622422, 46829.55716132671
2018-08-19 12:50:27, 522198.9311691384, 0.009030195812190405, 45114.64278117196
2018-08-19 13:50:57, 522754.4776281783, 0.009044135257422786, 42202.15584407839
2018-08-19 13:54:36, 523785.1457495615, 0.009029511048648164, 42134.17532979611
2018-08-19 14:50:26, 522340.27055045264, 0.009016584755916423, 42320.98215640177
2018-08-19 15:50:26, 516204.84458351, 0.008913514370699928, 40884.730316244175
2018-08-19 16:50:34, 518923.70326273405, 0.008959481336143478, 41909.35601709492
2018-08-19 17:50:24, 520305.59131330246, 0.00898185105709328, 42597.89037988121
2018-08-19 18:50:20, 516358.8993431029, 0.008915660888931677, 43946.789378026886
2018-08-19 19:50:30, 515573.92047206516, 0.008912854758217485, 43335.79381165382
2018-08-19 20:50:21, 516096.2545098486, 0.008916760815438773, 43296.0072787861
2018-08-19 21:50:20, 516918.1062794096, 0.008925571011991944, 42978.23733643323
2018-08-19 22:50:26, 517498.27192047454, 0.008939537271306704, 45323.552068912206
2018-08-19 23:50:20, 518505.81894786796, 0.008956254046851913, 46380.71204982714
2018-08-20 00:50:21, 517086.9067903268, 0.008924859659425327, 45870.14077394959
2018-08-20 01:50:23, 515461.386113433, 0.008895411053409285, 47804.37805207018
2018-08-20 02:50:22, 514502.6879667554, 0.008880303575486042, 46251.09369517125
2018-08-20 03:33:36, 514437.4522086149, 0.008877553971531713, 47846.42176518678
2018-08-20 04:34:00, 513267.1546070347, 0.008834276436653403, 46844.6294107213
2018-08-20 05:24:55, 506959.9823899501, 0.00873191308904105, 50115.51122883731
2018-08-20 06:24:36, 499642.96619472845, 0.008619320586358096, 50579.8765671899
2018-08-20 07:24:39, 500631.9436351206, 0.008652414564201455, 53346.634858802005
2018-08-20 08:24:43, 504796.3398026814, 0.008702849480727358, 53966.04461380586
2018-08-20 09:24:34, 504955.3564409901, 0.008710391153270026, 54310.26163038595
2018-08-20 10:24:35, 503795.75982490706, 0.008688349325469146, 55861.7873739191
2018-08-20 11:24:49, 503197.53875636996, 0.008665836000787082, 54478.07182816411
2018-08-20 12:24:47, 506513.77796746144, 0.008742052993028404, 56069.9738364826
2018-08-20 13:24:30, 507515.9178142038, 0.008761576389559943, 54068.17905822747
2018-08-20 14:24:51, 507175.3010544447, 0.008776992115078937, 54332.97394798449
2018-08-20 15:24:44, 507245.48614083894, 0.008755162148625956, 52976.23502753541
2018-08-20 16:24:43, 508550.94174617884, 0.008778647214646178, 53798.378480293846
2018-08-20 17:24:44, 505137.7326395567, 0.008717258944705378, 51905.93117755127
2018-08-20 18:24:40, 502364.0764566662, 0.008672203493780905, 52996.1375305043
2018-08-20 19:24:42, 498909.6313764443, 0.008596306816304635, 53161.47756131518
2018-08-20 20:24:44, 497347.5979399487, 0.008583623575489937, 56336.18515012401
2018-08-20 21:22:52, 496153.91789082665, 0.008567290365823621, 56695.90089495117
2018-08-20 22:23:16, 496704.11468969326, 0.008573526359596772, 57377.184672252166
2018-08-20 22:28:47, 496704.11468969326, 0.00857055556590315, 57243.01758194605
2018-08-20 23:22:03, 495899.4322107531, 0.008562677524212971, 55501.18066588314
2018-08-20 23:28:30, 496088.21042782767, 0.008565384537952086, 55912.539499000115
